season,home_3PM_avg10,home_3P%_avg10,home_FT%_avg10,home_OREB_avg10,home_DREB_avg10,home_AST_avg10,home_TOV_avg10,home_STL_avg10,home_BLK_avg10,home_PF_avg10,home_+/-_avg10,away_3PM_avg10,away_3P%_avg10,away_FT%_avg10,away_OREB_avg10,away_DREB_avg10,away_AST_avg10,away_TOV_avg10,away_STL_avg10,away_BLK_avg10,away_PF_avg10,away_+/-_avg10,win_type,TOV_adv,TS_diff_avg,assist_to_tov_diff_avg,FTR_avg_diff,ORB_rate_diff,3PA_rate_diff,STL_rate_diff,pace_diff
1997,5.8,31.660000000000004,73.6,12.3,32.4,18.6,19.3,6.9,5.3,24.2,0.1,3.2,35.739999999999995,71.76,12.9,28.3,19.8,18.68,6.4,4.8,24.0,-9.059999999999999,home_close_win,0.620000000000001,0.007274753544770474,-0.09622660349935086,0.04265681127383253,0.018187453104100748,0.12393271621995026,0.5,0.5640000000000072
1997,5.7,32.1,69.03,13.7,25.3,21.5,16.4,9.7,5.3,22.3,-10.7,6.7,35.230000000000004,68.55,12.4,27.2,20.3,16.8,8.3,4.5,26.4,1.2,away_normal_win,-0.40000000000000213,-0.049272588147003415,0.10264227642276436,-0.038671828543887454,0.006050858339872789,-0.04234606693748788,1.3999999999999986,-0.2560000000000002
1997,3.9,34.769999999999996,77.61,13.7,29.5,19.0,15.2,8.1,4.8,23.3,2.8,8.1,36.14,72.68,12.4,27.5,16.6,16.4,7.8,5.1,19.0,-1.9,away_normal_win,-1.1999999999999993,0.036599498496976746,0.23780487804878025,0.0414017043300533,0.03658155108093697,-0.15401770261583345,0.2999999999999998,5.931999999999988
1997,8.4,35.910000000000004,72.37,13.9,32.3,25.1,19.9,10.0,5.0,19.8,9.1,4.1,25.110000000000003,72.37,13.0,27.2,22.3,16.0,8.1,3.3,24.1,-11.3,home_normal_win,3.8999999999999986,0.06655813168716657,-0.13244346733668322,0.10870078538062733,0.05122379594270149,0.09954314460243319,1.9000000000000004,2.1439999999999912
1997,6.5,36.239999999999995,75.53,12.6,31.3,23.5,20.9,6.8,6.0,25.8,-2.2,6.8,36.93,74.66,14.3,33.1,27.2,13.9,8.3,4.2,19.6,20.3,away_normal_win,6.999999999999998,-0.030903175081593348,-0.8324326184985025,0.04016621317875313,-0.03788533149065226,0.00033420087542884724,-1.5000000000000009,2.760000000000005
1997,5.4,33.54,68.6,14.3,29.7,22.1,14.8,6.7,6.0,22.3,-0.6,7.5,39.05,69.24,14.8,27.6,21.3,20.0,8.7,5.0,22.1,-4.5,home_normal_win,-5.199999999999999,-0.020042657919273843,0.42824324324324325,-0.12754589733982763,0.008704513153307725,-0.05351067815661298,-1.9999999999999991,-1.808000000000007
1997,7.4,38.99,67.91,11.8,28.6,23.1,16.9,7.0,6.2,21.8,0.9,4.5,24.95,68.26,12.4,25.8,20.2,15.6,8.8,5.9,20.7,-6.7,home_normal_win,1.299999999999999,0.06706237523824593,0.07199211045364895,0.043264998753390016,0.01139076284379864,0.0021828395231335007,-1.8000000000000007,6.792000000000016
1997,3.6,37.739999999999995,70.08000000000001,13.2,28.4,19.6,17.82,5.8,4.6,24.1,-7.959999999999999,6.8,35.25,68.25999999999999,12.9,27.5,20.0,16.8,8.3,5.1,25.8,1.8,away_close_win,1.0199999999999996,-0.004220996555526213,-0.09058842392175714,0.01000574313386382,0.011975656043452576,-0.13374180627254345,-2.500000000000001,0.38400000000000034
1997,7.5,38.230000000000004,68.8,15.0,28.2,20.0,21.2,9.3,5.0,21.1,-4.9,5.6,39.86,73.92999999999999,12.5,29.9,21.4,21.6,8.1,5.6,27.5,5.1,home_normal_win,-0.40000000000000213,-0.04835644235863379,-0.047344514325646236,0.03529892282557523,0.02695041670542786,0.054775980948688824,1.200000000000001,3.736000000000004
1997,7.7,43.28,72.28999999999999,11.7,27.2,23.0,15.4,6.3,3.7,21.8,-2.1,7.9,46.87,79.29,11.5,27.4,17.6,14.6,6.5,2.7,19.4,7.7,home_normal_win,0.8000000000000007,-0.018539719931160104,0.2880270414516988,0.015567439096850877,0.0020751138338719888,0.005436720142602491,-0.20000000000000018,3.048000000000016
1997,8.7,40.45,77.9,13.0,26.1,18.7,19.6,10.2,5.5,26.9,-3.7,7.4,33.72,71.77000000000001,12.2,27.9,16.4,15.9,8.1,5.6,19.4,0.1,away_close_win,3.700000000000001,0.02987683151618825,-0.07736490822744202,-0.03729646533275022,-0.0006894482498866483,-0.002071654886668328,2.0999999999999996,8.116
1997,3.7,31.51,76.67,13.2,29.1,18.2,14.7,8.0,4.6,22.6,1.2,5.3,32.459999999999994,67.46000000000001,14.6,30.2,21.3,15.5,7.0,5.9,22.0,0.2,away_close_win,-0.8000000000000007,0.024471459161835518,-0.1360983102918587,0.0648014304208247,-0.02994864440202888,-0.03752097157154716,1.0,-3.028000000000006
1997,3.3,32.45,71.85,11.4,27.6,19.8,15.4,7.8,7.9,24.0,-3.4,3.7,30.02,72.4,13.9,28.8,19.1,17.0,9.8,5.2,24.8,-0.4,home_close_win,-1.5999999999999996,0.0026359114024048225,0.16218487394957992,-0.009620469430094036,-0.0513576694839058,-0.02646137574746779,-2.000000000000001,-0.9279999999999973
1997,6.5,34.74,78.23,11.5,26.2,23.2,18.5,7.5,4.9,21.9,-3.6,8.3,35.4,73.49,13.5,32.7,24.7,19.4,8.9,5.3,19.5,9.0,away_close_win,-0.8999999999999986,-0.002345887440686978,-0.01914182223460581,-0.07430949135519044,-0.07986938235864005,-0.07884831527847525,-1.4000000000000004,-2.1839999999999975
1997,5.5,30.410000000000004,73.5,13.7,31.9,18.3,17.6,6.9,5.1,23.0,1.4,6.7,36.379999999999995,74.96000000000001,13.0,30.9,23.1,20.8,7.0,5.9,26.7,-4.9,home_blowout_win,-3.1999999999999993,-0.0006643296715765912,-0.07080419580419584,0.05548360358493498,0.01764259390573969,0.010885613635186253,-0.09999999999999964,-4.272000000000006
1997,5.0,26.72,73.44,13.5,27.8,20.5,19.6,8.5,4.3,24.9,-9.3,6.4,33.96,63.749999999999986,12.9,29.2,22.2,18.5,8.3,3.7,25.7,-4.8,home_normal_win,1.1000000000000014,-0.015104163800469528,-0.15408163265306118,-0.05250222776123481,-0.0007940663678369098,-0.03327212935919757,0.1999999999999993,4.056000000000012
1997,5.2,36.34,73.4,12.1,30.2,21.2,22.8,8.1,5.4,28.9,0.7,6.9,35.58,71.78999999999999,12.0,30.0,24.4,15.8,12.4,5.4,23.2,13.0,away_normal_win,7.0,-0.006941985953523799,-0.6144792360648456,-0.031241403026134817,0.003050736792335973,-0.05330123796423658,-4.300000000000001,-2.6439999999999912
1997,7.0,38.78,72.57000000000001,11.8,28.5,21.1,15.6,7.0,4.5,23.7,6.4,4.0,37.36,70.11,12.5,28.6,20.1,17.520000000000003,5.7,4.4,27.0,-9.64,home_blowout_win,-1.9200000000000035,0.01244902858118846,0.2053038285915001,-0.025245650034199152,-0.012798840859695737,0.10008841732979665,1.2999999999999998,-6.684000000000012
